_Leaf_,code,DGNS_DESC,all_pc,prnc_pc,all_cnt,prnc_cnt,leaf_total
1,M480,spinal stenosis,100,47.795088461,3787,1810,3787
1,M431,spondylolisthesis,64.166886718,27.515183523,2430,1042,3787
1,I10,essential (primary) hypertension,63.559545815,0,2407,,3787
1,E785,"hyperlipidemia, unspecified",39.477158701,0,1495,,3787
1,K219,gastro-esophageal reflux disease without esophagitis,34.301557961,0,1299,,3787
1,Z798,other long term (current) drug therapy,24.584103512,0,931,,3787
1,Z878,personal history of other specified conditions,24.478479007,0,927,,3787
1,M511,"thor, thrclm & lumbosacr intvrt disc disord w radiculopathy",19.250066015,7.8426194877,729,297,3787
1,M541,radiculopathy,18.642725112,0.5809347769,706,22,3787
1,G473,sleep apnea,14.708212305,0,557,,3787
1,F329,"major depressive disorder, single episode, unspecified",14.04805915,0,532,,3787
1,M199,"osteoarthritis, unspecified site",13.810404014,0,523,,3787
1,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",12.991814101,3.2479535252,492,123,3787
1,D62,acute posthemorrhagic anemia,12.701346712,0,481,,3787
1,E780,pure hypercholesterolemia,12.64853446,0,479,,3787
1,Z966,presence of orthopedic joint implants,12.252442567,0,464,,3787
1,E669,"obesity, unspecified",11.988381304,0,454,,3787
1,Z981,arthrodesis status,11.24900977,0,426,,3787
1,M472,other spondylosis with radiculopathy,8.714021653,2.8254555057,330,107,3787
1,K590,constipation,8.3707420121,0,317,,3787
1,J459,other and unspecified asthma,7.8954317402,0,299,,3787
1,M545,low back pain,7.5785582255,0,287,,3787
1,M478,other spondylosis,7.3673092157,1.795616583,279,68,3787
1,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",7.2088724584,1.6899920782,273,64,3787
1,G892,"chronic pain, not elsewhere classified",7.1824663322,0,272,,3787
1,M532,spinal instabilities,6.1790335358,0.4224980195,234,16,3787
1,Z880,allergy status to penicillin,5.3340374967,0,202,,3787
1,M713,other bursal cyst,4.9115394772,,186,,3787
1,Z858,personal history of malig neoplasms of organs and systems,4.8323210985,0,183,,3787
1,M418,other forms of scoliosis,4.0929495643,0.8185899129,155,31,3787
1,Z854,personal history of malignant neoplasm of genital organs,3.9873250594,0,151,,3787
1,Z907,acquired absence of genital organ(s),3.934512807,0,149,,3787
1,M419,"scoliosis, unspecified",3.4327964088,0.3696857671,130,14,3787
1,M069,"rheumatoid arthritis, unspecified",3.4063902825,0,129,,3787
1,G974,accidental pnctr & lac of a nervous system org dur proc,3.221547399,0,122,,3787
1,M961,"postlaminectomy syndrome, not elsewhere classified",3.1159228941,0.7393715342,118,28,3787
1,E876,hypokalemia,3.1159228941,0,118,,3787
1,H919,unspecified hearing loss,2.746237127,0,104,,3787
1,Z910,"allergy status, oth than to drugs and biological substances",2.6406126221,0,100,,3787
1,G961,"disorders of meninges, not elsewhere classified",2.1653023501,0,82,,3787
1,M960,pseudarthrosis after fusion or arthrodesis,1.9804594666,0.8714021653,75,33,3787
1,K589,irritable bowel syndrome without diarrhea,1.9804594666,0,75,,3787
1,G891,"acute pain, not elsewhere classified",1.9012410879,,72,,3787
1,M796,"pain in limb, hand, foot, fingers and toes",1.8748349617,0,71,,3787
1,G439,"migraine, unspecified",1.5315553208,0,58,,3787
1,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",1.3731185635,0.4224980195,52,16,3787
1,Z984,cataract extraction status,1.2674940586,0,48,,3787
1,M479,"spondylosis, unspecified",1.2410879324,,47,,3787
1,M402,other and unspecified kyphosis,1.0826511751,,41,,3787
1,M471,other spondylosis with myelopathy,1.0034327964,0.3960918933,38,15,3787
1,M430,spondylolysis,0.9242144177,,35,,3787
1,M129,"arthropathy, unspecified",0.9242144177,0,35,,3787
1,M412,other idiopathic scoliosis,0.7921837866,,30,,3787
1,T842,mechanical complication of internal fixation device of bones,0.7657776604,,29,,3787
1,G834,cauda equina syndrome,0.7657776604,,29,,3787
1,G960,cerebrospinal fluid leak,0.712965408,0,27,,3787
1,M485,"collapsed vertebra, not elsewhere classified",0.6865592818,,26,,3787
1,M469,unspecified inflammatory spondylopathy,0.5281225244,0,20,,3787
1,S320,fracture of lumbar vertebra,0.4489041458,,17,,3787
1,M415,other secondary scoliosis,0.4489041458,,17,,3787
1,G92,toxic encephalopathy,0.4489041458,,17,,3787
1,M432,fusion of spine,0.4224980195,0,16,,3787
1,T848,oth complications of internal orthopedic prosth dev/grft,0.3960918933,,15,,3787
1,Q762,congenital spondylolisthesis,0.3960918933,,15,,3787
1,M997,connective tiss and disc stenosis of intervertebral foramina,0.3696857671,,14,,3787
1,M968,"oth intraop and postproc comp and disorders of ms sys, nec",0.3168735147,0,12,,3787
1,M403,flatback syndrome,0.2904673884,,11,,3787
1,M963,postlaminectomy kyphosis,,,,,3787
1,M464,"discitis, unspecified",,,,,3787
1,A419,"sepsis, unspecified organism",,0,,,3787
1,T844,"mech comp of internal orth devices, implants and grafts",,,,,3787
1,T840,mechanical complication of internal joint prosthesis,,,,,3787
1,M462,osteomyelitis of vertebra,,,,,3787
1,M468,other specified inflammatory spondylopathies,,,,,3787
1,M503,other cervical disc degeneration,,,,,3787
1,M518,"oth thoracic, thoracolum and lumbosacr intvrt disc disorders",,,,,3787
1,C795,secondary malignant neoplasm of bone and bone marrow,,0,,,3787
1,M800,age-related osteoporosis with current pathological fracture,,0,,,3787
1,M844,"pathological fracture, not elsewhere classified",,0,,,3787
1,Q764,"oth congenital malform of spine, not associated w scoliosis",,0,,,3787
1,M808,other osteoporosis with current pathological fracture,,,,,3787
1,G958,other specified diseases of spinal cord,,,,,3787
1,M435,other recurrent vertebral dislocation,,,,,3787
1,M438,other specified deforming dorsopathies,,,,,3787
1,T814,infection following a procedure,,,,,3787
1,M519,"unsp thoracic, thoracolum and lumbosacr intvrt disc disorder",,0,,,3787
1,A410,sepsis due to staphylococcus aureus,,,,,3787
1,M481,ankylosing hyperostosis [forestier],,0,,,3787
1,S321,fracture of sacrum,,0,,,3787
1,T856,mechanical comp of internal and external prosth dev/grft,,0,,,3787
1,M411,juvenile and adolescent idiopathic scoliosis,,,,,3787
1,M845,pathological fracture in neoplastic disease,,,,,3787
1,T843,"mechanical complication of bone devices, implants and grafts",,,,,3787
1,G402,local-rel (focal) symptc epilepsy w complex partial seizures,,0,,,3787
1,T849,unsp complication of internal orthopedic prosth dev/grft,,0,,,3787
1,C794,secondary malig neoplasm of and unsp parts of nervous sys,,,,,3787
1,D166,benign neoplasm of vertebral column,,,,,3787
1,S220,fracture of thoracic vertebra,,,,,3787
1,T846,infect/inflm reaction due to internal fixation device,,,,,3787
1,M966,fx bone following insrt ortho implnt/prosth/bone plt,,0,,,3787
1,S331,subluxation and dislocation of lumbar vertebra,,0,,,3787
2,M431,spondylolisthesis,100,65.352112676,710,464,710
2,I10,essential (primary) hypertension,59.718309859,0,424,,710
2,K219,gastro-esophageal reflux disease without esophagitis,35.070422535,0,249,,710
2,E785,"hyperlipidemia, unspecified",34.788732394,0,247,,710
2,M511,"thor, thrclm & lumbosacr intvrt disc disord w radiculopathy",25.211267606,10.985915493,179,78,710
2,Z878,personal history of other specified conditions,23.943661972,0,170,,710
2,Z798,other long term (current) drug therapy,22.253521127,0,158,,710
2,M541,radiculopathy,15.211267606,,108,,710
2,M472,other spondylosis with radiculopathy,14.647887324,7.1830985915,104,51,710
2,F329,"major depressive disorder, single episode, unspecified",14.084507042,0,100,,710
2,G473,sleep apnea,13.802816901,0,98,,710
2,E780,pure hypercholesterolemia,12.253521127,0,87,,710
2,E669,"obesity, unspecified",11.690140845,0,83,,710
2,M199,"osteoarthritis, unspecified site",11.690140845,0,83,,710
2,D62,acute posthemorrhagic anemia,11.408450704,0,81,,710
2,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",10.281690141,3.2394366197,73,23,710
2,M478,other spondylosis,9.7183098592,2.676056338,69,19,710
2,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",9.5774647887,3.5211267606,68,25,710
2,Z966,presence of orthopedic joint implants,9.5774647887,0,68,,710
2,J459,other and unspecified asthma,8.4507042254,0,60,,710
2,G892,"chronic pain, not elsewhere classified",7.6056338028,0,54,,710
2,K590,constipation,6.9014084507,0,49,,710
2,M545,low back pain,6.1971830986,0,44,,710
2,Z880,allergy status to penicillin,6.0563380282,0,43,,710
2,Z858,personal history of malig neoplasms of organs and systems,5.7746478873,0,41,,710
2,Z981,arthrodesis status,5.7746478873,0,41,,710
2,M713,other bursal cyst,5.3521126761,,38,,710
2,M532,spinal instabilities,4.5070422535,,32,,710
2,Z910,"allergy status, oth than to drugs and biological substances",4.2253521127,0,30,,710
2,Z907,acquired absence of genital organ(s),4.0845070423,0,29,,710
2,M069,"rheumatoid arthritis, unspecified",3.9436619718,0,28,,710
2,M961,"postlaminectomy syndrome, not elsewhere classified",3.8028169014,,27,,710
2,G974,accidental pnctr & lac of a nervous system org dur proc,3.8028169014,0,27,,710
2,H919,unspecified hearing loss,2.9577464789,0,21,,710
2,Z854,personal history of malignant neoplasm of genital organs,2.9577464789,0,21,,710
2,E876,hypokalemia,2.8169014085,,20,,710
2,M418,other forms of scoliosis,2.8169014085,,20,,710
2,G961,"disorders of meninges, not elsewhere classified",2.676056338,,19,,710
2,M419,"scoliosis, unspecified",2.676056338,0,19,,710
2,M960,pseudarthrosis after fusion or arthrodesis,2.5352112676,,18,,710
2,M796,"pain in limb, hand, foot, fingers and toes",2.1126760563,0,15,,710
2,M479,"spondylosis, unspecified",1.8309859155,,13,,710
2,G891,"acute pain, not elsewhere classified",1.8309859155,0,13,,710
2,K589,irritable bowel syndrome without diarrhea,1.8309859155,0,13,,710
2,G439,"migraine, unspecified",,0,,,710
2,G834,cauda equina syndrome,,0,,,710
2,M471,other spondylosis with myelopathy,,,,,710
2,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,,,,710
2,T842,mechanical complication of internal fixation device of bones,,,,,710
2,Z984,cataract extraction status,,0,,,710
2,G92,toxic encephalopathy,,0,,,710
2,M402,other and unspecified kyphosis,,0,,,710
2,M430,spondylolysis,,,,,710
2,M968,"oth intraop and postproc comp and disorders of ms sys, nec",,0,,,710
2,S320,fracture of lumbar vertebra,,,,,710
2,M432,fusion of spine,,0,,,710
2,M464,"discitis, unspecified",,0,,,710
2,M412,other idiopathic scoliosis,,,,,710
2,M462,osteomyelitis of vertebra,,,,,710
2,G960,cerebrospinal fluid leak,,0,,,710
2,M129,"arthropathy, unspecified",,0,,,710
2,M415,other secondary scoliosis,,0,,,710
2,M485,"collapsed vertebra, not elsewhere classified",,0,,,710
2,M503,other cervical disc degeneration,,0,,,710
2,M966,fx bone following insrt ortho implnt/prosth/bone plt,,,,,710
2,T843,"mechanical complication of bone devices, implants and grafts",,,,,710
2,M400,postural kyphosis,,0,,,710
2,M438,other specified deforming dorsopathies,,0,,,710
2,M468,other specified inflammatory spondylopathies,,0,,,710
2,M800,age-related osteoporosis with current pathological fracture,,0,,,710
2,M844,"pathological fracture, not elsewhere classified",,0,,,710
2,M997,connective tiss and disc stenosis of intervertebral foramina,,0,,,710
2,T856,mechanical comp of internal and external prosth dev/grft,,0,,,710
2,A410,sepsis due to staphylococcus aureus,,,,,710
2,A415,sepsis due to other gram-negative organisms,,,,,710
2,S321,fracture of sacrum,,,,,710
2,T814,infection following a procedure,,,,,710
2,T848,oth complications of internal orthopedic prosth dev/grft,,,,,710
2,A419,"sepsis, unspecified organism",,0,,,710
2,G402,local-rel (focal) symptc epilepsy w complex partial seizures,,0,,,710
2,M401,other secondary kyphosis,,0,,,710
2,M469,unspecified inflammatory spondylopathy,,0,,,710
2,M518,"oth thoracic, thoracolum and lumbosacr intvrt disc disorders",,0,,,710
2,M846,pathological fracture in other disease,,0,,,710
2,M963,postlaminectomy kyphosis,,0,,,710
2,Q762,congenital spondylolisthesis,,0,,,710
2,Q764,"oth congenital malform of spine, not associated w scoliosis",,0,,,710
2,T840,mechanical complication of internal joint prosthesis,,0,,,710
3,M511,"thor, thrclm & lumbosacr intvrt disc disord w radiculopathy",100,85.798816568,169,145,169
3,I10,essential (primary) hypertension,62.130177515,0,105,,169
3,E785,"hyperlipidemia, unspecified",38.461538462,0,65,,169
3,K219,gastro-esophageal reflux disease without esophagitis,29.585798817,0,50,,169
3,Z798,other long term (current) drug therapy,23.076923077,0,39,,169
3,M472,other spondylosis with radiculopathy,18.343195266,,31,,169
3,Z878,personal history of other specified conditions,18.343195266,0,31,,169
3,E669,"obesity, unspecified",15.976331361,0,27,,169
3,E780,pure hypercholesterolemia,15.384615385,0,26,,169
3,F329,"major depressive disorder, single episode, unspecified",15.384615385,0,26,,169
3,Z981,arthrodesis status,14.792899408,0,25,,169
3,G473,sleep apnea,12.426035503,0,21,,169
3,M199,"osteoarthritis, unspecified site",11.24260355,0,19,,169
3,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",10.650887574,,18,,169
3,D62,acute posthemorrhagic anemia,10.059171598,0,17,,169
3,J459,other and unspecified asthma,8.875739645,0,15,,169
3,Z966,presence of orthopedic joint implants,8.2840236686,0,14,,169
3,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",7.6923076923,,13,,169
3,G892,"chronic pain, not elsewhere classified",7.6923076923,0,13,,169
3,K590,constipation,7.100591716,0,12,,169
3,M961,"postlaminectomy syndrome, not elsewhere classified",6.5088757396,,11,,169
3,M478,other spondylosis,,0,,,169
3,M532,spinal instabilities,,0,,,169
3,E876,hypokalemia,,0,,,169
3,G974,accidental pnctr & lac of a nervous system org dur proc,,0,,,169
3,Z880,allergy status to penicillin,,0,,,169
3,G891,"acute pain, not elsewhere classified",,0,,,169
3,M541,radiculopathy,,0,,,169
3,M545,low back pain,,0,,,169
3,M960,pseudarthrosis after fusion or arthrodesis,,,,,169
3,T842,mechanical complication of internal fixation device of bones,,,,,169
3,Z858,personal history of malig neoplasms of organs and systems,,0,,,169
3,M069,"rheumatoid arthritis, unspecified",,0,,,169
3,M713,other bursal cyst,,0,,,169
3,Z907,acquired absence of genital organ(s),,0,,,169
3,G961,"disorders of meninges, not elsewhere classified",,0,,,169
3,K589,irritable bowel syndrome without diarrhea,,0,,,169
3,Z854,personal history of malignant neoplasm of genital organs,,0,,,169
3,Z910,"allergy status, oth than to drugs and biological substances",,0,,,169
3,M418,other forms of scoliosis,,,,,169
3,H919,unspecified hearing loss,,0,,,169
3,M419,"scoliosis, unspecified",,0,,,169
3,M796,"pain in limb, hand, foot, fingers and toes",,0,,,169
3,M997,connective tiss and disc stenosis of intervertebral foramina,,0,,,169
3,G402,local-rel (focal) symptc epilepsy w complex partial seizures,,,,,169
3,M401,other secondary kyphosis,,,,,169
3,M430,spondylolysis,,,,,169
3,M469,unspecified inflammatory spondylopathy,,,,,169
3,G439,"migraine, unspecified",,0,,,169
3,G834,cauda equina syndrome,,0,,,169
3,G92,toxic encephalopathy,,0,,,169
3,G960,cerebrospinal fluid leak,,0,,,169
3,M129,"arthropathy, unspecified",,0,,,169
3,M402,other and unspecified kyphosis,,0,,,169
3,M403,flatback syndrome,,0,,,169
3,M411,juvenile and adolescent idiopathic scoliosis,,0,,,169
3,M412,other idiopathic scoliosis,,0,,,169
3,M413,thoracogenic scoliosis,,0,,,169
3,M415,other secondary scoliosis,,0,,,169
3,M479,"spondylosis, unspecified",,0,,,169
3,M481,ankylosing hyperostosis [forestier],,0,,,169
3,M485,"collapsed vertebra, not elsewhere classified",,0,,,169
3,M519,"unsp thoracic, thoracolum and lumbosacr intvrt disc disorder",,0,,,169
3,T856,mechanical comp of internal and external prosth dev/grft,,0,,,169
3,Z984,cataract extraction status,,0,,,169
4,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",100,61.971830986,71,44,71
4,I10,essential (primary) hypertension,64.788732394,0,46,,71
4,E785,"hyperlipidemia, unspecified",43.661971831,0,31,,71
4,K219,gastro-esophageal reflux disease without esophagitis,30.985915493,0,22,,71
4,Z798,other long term (current) drug therapy,22.535211268,0,16,,71
4,Z878,personal history of other specified conditions,22.535211268,0,16,,71
4,M478,other spondylosis,16.901408451,,12,,71
4,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",16.901408451,,12,,71
4,M199,"osteoarthritis, unspecified site",15.492957746,0,11,,71
4,D62,acute posthemorrhagic anemia,,0,,,71
4,Z981,arthrodesis status,,0,,,71
4,M472,other spondylosis with radiculopathy,,,,,71
4,G473,sleep apnea,,0,,,71
4,Z880,allergy status to penicillin,,0,,,71
4,E669,"obesity, unspecified",,0,,,71
4,E780,pure hypercholesterolemia,,0,,,71
4,M532,spinal instabilities,,,,,71
4,M541,radiculopathy,,,,,71
4,F329,"major depressive disorder, single episode, unspecified",,0,,,71
4,M545,low back pain,,0,,,71
4,M961,"postlaminectomy syndrome, not elsewhere classified",,,,,71
4,G892,"chronic pain, not elsewhere classified",,0,,,71
4,K590,constipation,,0,,,71
4,M479,"spondylosis, unspecified",,0,,,71
4,Z966,presence of orthopedic joint implants,,0,,,71
4,M713,other bursal cyst,,,,,71
4,Z907,acquired absence of genital organ(s),,0,,,71
4,G834,cauda equina syndrome,,0,,,71
4,J459,other and unspecified asthma,,0,,,71
4,M069,"rheumatoid arthritis, unspecified",,0,,,71
4,Z910,"allergy status, oth than to drugs and biological substances",,0,,,71
4,M419,"scoliosis, unspecified",,,,,71
4,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,,,,71
4,M418,other forms of scoliosis,,,,,71
4,E876,hypokalemia,,0,,,71
4,G891,"acute pain, not elsewhere classified",,0,,,71
4,H919,unspecified hearing loss,,0,,,71
4,Z854,personal history of malignant neoplasm of genital organs,,0,,,71
4,Z858,personal history of malig neoplasms of organs and systems,,0,,,71
4,M471,other spondylosis with myelopathy,,,,,71
4,S331,subluxation and dislocation of lumbar vertebra,,,,,71
4,T844,"mech comp of internal orth devices, implants and grafts",,,,,71
4,G961,"disorders of meninges, not elsewhere classified",,0,,,71
4,M402,other and unspecified kyphosis,,0,,,71
4,M485,"collapsed vertebra, not elsewhere classified",,0,,,71
